2252.0	5308700	WA	TACOMA SCHOOL DISTRICT
2242.0	0401680	AZ	CARTWRIGHT ELEMENTARY DISTRICT
2241.0	0612880	CA	ESCONDIDO UNION
2235.5	1201380	FL	OKALOOSA
2230.0	0628650	CA	ORANGE UNIFIED
2225.8	0633860	CA	SADDLEBACK VALLEY UNIFIED
2224.7	0609620	CA	COMPTON UNIFIED
2220.8	0629580	CA	PALMDALE ELEMENTARY
2219.7	0608460	CA	CHINO VALLEY UNIFIED
2218.8	1731740	IL	PLAINFIELD SD 202
2206.2	1304020	GA	PAULDING COUNTY
2200.2	4813050	TX	CARROLLTON-FARMERS BRANCH ISD
2192.8	4901140	UT	WASHINGTON DISTRICT
2182.8	0611110	CA	DESERT SANDS UNIFIED
2181.0	4900870	UT	SALT LAKE DISTRICT
2180.7	0641160	CA	VISALIA UNIFIED
2177.7	1741690	IL	INDIAN PRAIRIE CUSD 204
2170.2	0100270	AL	BALDWIN COUNTY
2166.7	2010140	KS	OLATHE
2166.2	4219170	PA	PITTSBURGH SD
2161.0	1734510	IL	ROCKFORD SD 205
2159.8	0636840	CA	SIMI VALLEY UNIFIED
2159.7	2916400	MO	KANSAS CITY 33
2159.7	0802490	CO	BOULDER VALLEY SCHOOL DISTRICT NO. RE2
2156.8	0631320	CA	POMONA UNIFIED
2152.5	1200030	FL	ALACHUA
2151.2	2634470	MI	UTICA COMMUNITY SCHOOLS
2150.2	0509000	AR	LITTLE ROCK SCHOOL DISTRICT
2149.0	0103030	AL	SHELBY COUNTY
2141.2	0805370	CO	ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J
2138.0	0684500	CA	IRVINE UNIFIED
2132.7	0610290	CA	CUPERTINO UNION
2130.7	4503360	SC	RICHLAND 01
2126.8	4704020	TN	SUMNER COUNTY SCHOOL DISTRICT
2123.7	2511130	MA	SPRINGFIELD
2104.8	5400600	WV	KANAWHA COUNTY SCHOOLS
2095.8	0404230	AZ	KYRENE ELEMENTARY DISTRICT
2091.5	2011640	KS	SHAWNEE MISSION PUB SCH
2085.0	1600360	ID	BOISE INDEPENDENT DISTRICT
2080.5	3412690	NJ	PATERSON
2078.8	4821420	TX	GRAND PRAIRIE ISD
2075.5	5304230	WA	LAKE WASHINGTON SCHOOL DISTRICT
2070.5	0803990	CO	POUDRE SCHOOL DISTRICT R-1
2063.2	1302610	GA	HALL COUNTY
2040.2	0632370	CA	RIALTO UNIFIED
2036.2	3700450	NC	BUNCOMBE COUNTY SCHOOLS
2035.2	1200090	FL	BAY
2034.5	0407570	AZ	SCOTTSDALE UNIFIED DISTRICT
2022.8	2732390	MN	ROSEMOUNT-APPLE VALLEY-EAGAN
2012.5	1302880	GA	HOUSTON COUNTY
2009.0	1300420	GA	BIBB COUNTY
2007.8	4816740	TX	DENTON ISD
2001.5	0100390	AL	BIRMINGHAM CITY
2000.3	5303960	WA	KENT SCHOOL DISTRICT
1996.0	2513230	MA	WORCESTER
1984.7	3703330	NC	NEW HANOVER COUNTY SCHOOLS
1979.0	4826580	TX	LAMAR CISD
1972.5	4826790	TX	LAREDO ISD
1965.3	3703450	NC	ONSLOW COUNTY SCHOOLS
1963.2	5508520	WI	MADISON METROPOLITAN SCHOOL DISTRICT
1961.5	4829670	TX	MCALLEN ISD
1953.3	4400900	RI	PROVIDENCE
1952.8	2400210	MD	CARROLL COUNTY PUBLIC SCHOOLS
1952.0	3631920	NY	YONKERS CITY SCHOOL DISTRICT
1946.2	2201020	LA	LIVINGSTON PARISH
1933.7	3904348	OH	AKRON CITY
1922.3	4829850	TX	MCKINNEY ISD
1922.3	2928860	MO	SPRINGFIELD R-XII
1915.2	5302700	WA	EVERGREEN SCHOOL DISTRICT (CLARK)
1906.7	4503390	SC	RICHLAND 02
1899.3	1301860	GA	DOUGLAS COUNTY
1893.2	5103660	VA	STAFFORD CO PBLC SCHS
1882.3	1201650	FL	SANTA ROSA
1876.7	3501500	NM	LAS CRUCES PUBLIC SCHOOLS
